escuela,semestre,curso,seccion,docente,diaHora,numeroMatriculados
INGENIERIA CIVIL,8,HIDROLOGÍA,10,"CCANCCAPA PUMA, JOEL",MIE 18:00  20:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,8,PAVIMENTOS,01,POR ASIGNAR,LUN 07:00  09:00,Hay 0 matriculados de 15
INGENIERIA CIVIL,8,PAVIMENTOS,02,POR ASIGNAR,MAR 07:00  09:00,Hay 15 matriculados de 15
INGENIERIA CIVIL,8,PAVIMENTOS,03,POR ASIGNAR,MIE 07:00  09:00,Hay 3 matriculados de 15
INGENIERIA CIVIL,8,PAVIMENTOS,04,POR ASIGNAR,JUE 07:00  09:00,Hay 1 matriculados de 15
INGENIERIA CIVIL,8,PAVIMENTOS,05,POR ASIGNAR,LUN 09:00  11:00,Hay 1 matriculados de 15
INGENIERIA CIVIL,8,PAVIMENTOS,06,POR ASIGNAR,MAR 09:00  11:00,Hay 15 matriculados de 15
INGENIERIA CIVIL,8,PAVIMENTOS,07,POR ASIGNAR,MIE 09:00  11:00,Hay 15 matriculados de 15
INGENIERIA CIVIL,8,PAVIMENTOS,08,POR ASIGNAR,JUE 09:00  11:00,Hay 15 matriculados de 15
INGENIERIA CIVIL,8,PAVIMENTOS,09,POR ASIGNAR,VIE 07:00  09:00,Hay 0 matriculados de 15
INGENIERIA CIVIL,8,PAVIMENTOS,10,POR ASIGNAR,VIE 09:00  11:00,Hay 15 matriculados de 15
INGENIERIA CIVIL,8,PAVIMENTOS,11,POR ASIGNAR,SAB 07:00  09:00,Hay 0 matriculados de 15
INGENIERIA CIVIL,8,PAVIMENTOS,12,POR ASIGNAR,SAB 09:00  11:00,Hay 0 matriculados de 15
INGENIERIA CIVIL,8,PAVIMENTOS,13,POR ASIGNAR,SAB 11:00  13:00,Hay 0 matriculados de 15
INGENIERIA CIVIL,8,PAVIMENTOS,A,"GAMARRA TUCO, RUBEN FRANCISCO",MIE 14:45  17:00,Hay 34 matriculados de 61
INGENIERIA CIVIL,8,PAVIMENTOS,B,"GAMARRA TUCO, RUBEN FRANCISCO",LUN 14:45  17:00,Hay 25 matriculados de 61
INGENIERIA CIVIL,8,PAVIMENTOS,C,"GAMARRA TUCO, RUBEN FRANCISCO",MAR 14:00  16:15,Hay 34 matriculados de 61
INGENIERIA CIVIL,8,CONCRETO ARMADO I,A,"CHAVEZ VEGA, OSCAR FELIX",JUE 14:00  16:00,Hay 57 matriculados de 57
INGENIERIA CIVIL,8,CONCRETO ARMADO I,A,"CHAVEZ VEGA, OSCAR FELIX",MAR 13:30  15:00,Hay 57 matriculados de 57
INGENIERIA CIVIL,8,CONCRETO ARMADO I,B,"CHAVEZ VEGA, OSCAR FELIX",JUE 12:00  14:00,Hay 57 matriculados de 57
INGENIERIA CIVIL,8,CONCRETO ARMADO I,B,"CHAVEZ VEGA, OSCAR FELIX",MAR 15:00  16:30,Hay 57 matriculados de 57
INGENIERIA CIVIL,8,CONCRETO ARMADO I,C,"BUSTAMANTE MORA, BORIS ANDRE",JUE 15:00  17:00,Hay 45 matriculados de 57
INGENIERIA CIVIL,8,CONCRETO ARMADO I,C,"BUSTAMANTE MORA, BORIS ANDRE",LUN 12:00  13:30,Hay 45 matriculados de 57
INGENIERIA CIVIL,8,CONCRETO ARMADO I,01,"GONZALES GALINDO, LUIS GENARO",LUN 10:00  12:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,8,CONCRETO ARMADO I,02,"GONZALES GALINDO, LUIS GENARO",MIE 10:00  12:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,8,CONCRETO ARMADO I,03,"GONZALES GALINDO, LUIS GENARO",VIE 07:00  09:00,Hay 14 matriculados de 20
INGENIERIA CIVIL,8,CONCRETO ARMADO I,04,"GONZALES GALINDO, LUIS GENARO",VIE 09:00  11:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,8,CONCRETO ARMADO I,05,"GONZALES GALINDO, LUIS GENARO",SAB 07:00  09:00,Hay 12 matriculados de 20
INGENIERIA CIVIL,8,CONCRETO ARMADO I,06,"GONZALES GALINDO, LUIS GENARO",SAB 09:00  11:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,8,CONCRETO ARMADO I,07,"GONZALES GALINDO, LUIS GENARO",LUN 08:00  10:00,Hay 12 matriculados de 20
INGENIERIA CIVIL,8,CONCRETO ARMADO I,08,"GONZALES GALINDO, LUIS GENARO",JUE 17:00  19:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,8,CONCRETO ARMADO I,09,"GONZALES GALINDO, LUIS GENARO",JUE 19:00  21:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,8,COSTOS EN LA CONSTRUCCIÓN,01,"TEJADA CALDERON, JUAN CARLOS",VIE 17:30  19:30,Hay 20 matriculados de 20
INGENIERIA CIVIL,8,COSTOS EN LA CONSTRUCCIÓN,02,"TEJADA CALDERON, JUAN CARLOS",VIE 19:30  21:30,Hay 19 matriculados de 20
INGENIERIA CIVIL,8,COSTOS EN LA CONSTRUCCIÓN,03,"TEJADA CALDERON, JUAN CARLOS",SAB 12:00  14:00,Hay 1 matriculados de 20
INGENIERIA CIVIL,8,COSTOS EN LA CONSTRUCCIÓN,04,"TEJADA CALDERON, JUAN CARLOS",SAB 14:00  16:00,Hay 2 matriculados de 20
INGENIERIA CIVIL,8,COSTOS EN LA CONSTRUCCIÓN,05,"TORRES ALMIRON, JENIFFER CARLA",LUN 10:00  12:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,8,COSTOS EN LA CONSTRUCCIÓN,06,"TORRES ALMIRON, JENIFFER CARLA",MIE 10:00  12:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,8,COSTOS EN LA CONSTRUCCIÓN,07,"TORRES ALMIRON, JENIFFER CARLA",SAB 10:00  12:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,8,COSTOS EN LA CONSTRUCCIÓN,A,"TORRES ALMIRON, JENIFFER CARLA",LUN 12:00  14:15,Hay 60 matriculados de 61
INGENIERIA CIVIL,8,COSTOS EN LA CONSTRUCCIÓN,B,"TORRES ALMIRON, JENIFFER CARLA",VIE 16:15  18:30,Hay 17 matriculados de 61
INGENIERIA CIVIL,8,COSTOS EN LA CONSTRUCCIÓN,C,"TORRES ALMIRON, JENIFFER CARLA",MIE 12:00  14:15,Hay 61 matriculados de 61
INGENIERIA CIVIL,8,COSTOS EN LA CONSTRUCCIÓN,08,"MONTOYA VILLANUEVA, FILIBERTO RODY",LUN 17:00  19:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,8,COSTOS EN LA CONSTRUCCIÓN,09,"MONTOYA VILLANUEVA, FILIBERTO RODY",SAB 14:00  16:00,Hay 12 matriculados de 20
INGENIERIA CIVIL,8,COSTOS EN LA CONSTRUCCIÓN,10,"MONTOYA VILLANUEVA, FILIBERTO RODY",SAB 16:00  18:00,Hay 1 matriculados de 20
INGENIERIA CIVIL,8,ANÁLISIS ESTRUCTURAL II,01,"ROSAS ESPINOZA, JORGE",MAR 10:00  12:00,Hay 15 matriculados de 20
INGENIERIA CIVIL,8,ANÁLISIS ESTRUCTURAL II,02,"ROSAS ESPINOZA, JORGE",JUE 10:00  12:00,Hay 12 matriculados de 20
INGENIERIA CIVIL,8,ANÁLISIS ESTRUCTURAL II,A,"ROSAS ESPINOZA, JORGE",JUE 12:00  14:00,Hay 55 matriculados de 61
INGENIERIA CIVIL,8,ANÁLISIS ESTRUCTURAL II,A,"ROSAS ESPINOZA, JORGE",MAR 12:00  13:30,Hay 55 matriculados de 61
INGENIERIA CIVIL,8,ANÁLISIS ESTRUCTURAL II,B,"ROSAS ESPINOZA, JORGE",JUE 14:00  16:00,Hay 51 matriculados de 61
INGENIERIA CIVIL,8,ANÁLISIS ESTRUCTURAL II,B,"ROSAS ESPINOZA, JORGE",MAR 13:30  15:00,Hay 51 matriculados de 61
INGENIERIA CIVIL,8,ANÁLISIS ESTRUCTURAL II,C,"BUSTAMANTE MORA, BORIS ANDRE",MAR 12:00  13:30,Hay 61 matriculados de 61
INGENIERIA CIVIL,8,ANÁLISIS ESTRUCTURAL II,C,"BUSTAMANTE MORA, BORIS ANDRE",VIE 12:00  14:00,Hay 61 matriculados de 61
INGENIERIA CIVIL,8,ANÁLISIS ESTRUCTURAL II,03,"SANCHEZ ZAPATA, MARCO ANTONIO",SAB 13:00  15:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,8,ANÁLISIS ESTRUCTURAL II,04,"SANCHEZ ZAPATA, MARCO ANTONIO",SAB 15:00  17:00,Hay 16 matriculados de 20
INGENIERIA CIVIL,8,ANÁLISIS ESTRUCTURAL II,05,"SANCHEZ ZAPATA, MARCO ANTONIO",SAB 17:00  19:00,Hay 3 matriculados de 20
INGENIERIA CIVIL,8,ANÁLISIS ESTRUCTURAL II,06,"SANCHEZ ZAPATA, MARCO ANTONIO",VIE 17:00  19:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,8,ANÁLISIS ESTRUCTURAL II,07,"SANCHEZ ZAPATA, MARCO ANTONIO",JUE 18:30  20:30,Hay 20 matriculados de 20
INGENIERIA CIVIL,8,ANÁLISIS ESTRUCTURAL II,08,"SANCHEZ ZAPATA, MARCO ANTONIO",VIE 13:00  15:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,8,ANÁLISIS ESTRUCTURAL II,09,"SANCHEZ ZAPATA, MARCO ANTONIO",VIE 15:00  17:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,8,ANÁLISIS ESTRUCTURAL II,10,"SANCHEZ ZAPATA, MARCO ANTONIO",JUE 16:30  18:30,Hay 20 matriculados de 20
INGENIERIA CIVIL,10,DISEÑO HIDRAULICO,05,POR ASIGNAR,LUN 11:00  13:00,Hay 2 matriculados de 20
INGENIERIA CIVIL,10,DISEÑO HIDRAULICO,06,POR ASIGNAR,LUN 13:00  15:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,10,DISEÑO HIDRAULICO,07,POR ASIGNAR,MAR 11:00  13:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,10,DISEÑO HIDRAULICO,08,POR ASIGNAR,MAR 13:00  15:00,Hay 2 matriculados de 20
INGENIERIA CIVIL,10,DISEÑO HIDRAULICO,09,POR ASIGNAR,MIE 11:00  13:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,10,DISEÑO HIDRAULICO,01,"ARROYO AMBIA, ARTURO FELIX",VIE 14:00  16:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,10,DISEÑO HIDRAULICO,A,"ARROYO AMBIA, ARTURO FELIX",LUN 18:30  20:00,Hay 57 matriculados de 57
INGENIERIA CIVIL,10,DISEÑO HIDRAULICO,B,"ARROYO AMBIA, ARTURO FELIX",LUN 20:00  21:30,Hay 44 matriculados de 57
INGENIERIA CIVIL,10,DISEÑO HIDRAULICO,C,"ARROYO AMBIA, ARTURO FELIX",MAR 20:00  21:30,Hay 43 matriculados de 57
INGENIERIA CIVIL,10,DISEÑO HIDRAULICO,02,"NORIEGA AQUISE, GUILLERMO YOREL",JUE 09:15  11:15,Hay 20 matriculados de 20
INGENIERIA CIVIL,10,DISEÑO HIDRAULICO,03,"NORIEGA AQUISE, GUILLERMO YOREL",JUE 11:15  13:15,Hay 20 matriculados de 20
INGENIERIA CIVIL,10,DISEÑO HIDRAULICO,04,"NORIEGA AQUISE, GUILLERMO YOREL",SAB 08:00  10:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,10,GESTION DE PROYECTOS,A,"SOTOMAYOR SALAS, ARTURO EDUARDO",LUN 07:00  08:30,Hay 40 matriculados de 56
INGENIERIA CIVIL,10,GESTION DE PROYECTOS,A,"SOTOMAYOR SALAS, ARTURO EDUARDO",VIE 17:00  18:30,Hay 40 matriculados de 56
INGENIERIA CIVIL,10,GESTION DE PROYECTOS,B,"SOTOMAYOR SALAS, ARTURO EDUARDO",LUN 08:30  10:00,Hay 19 matriculados de 56
INGENIERIA CIVIL,10,GESTION DE PROYECTOS,B,"SOTOMAYOR SALAS, ARTURO EDUARDO",VIE 20:00  21:30,Hay 19 matriculados de 56
INGENIERIA CIVIL,10,GESTION DE PROYECTOS,C,"SOTOMAYOR SALAS, ARTURO EDUARDO",LUN 10:00  11:30,Hay 25 matriculados de 56
INGENIERIA CIVIL,10,GESTION DE PROYECTOS,C,"SOTOMAYOR SALAS, ARTURO EDUARDO",VIE 15:30  17:00,Hay 25 matriculados de 56
INGENIERIA CIVIL,10,DISEÑO DE ACERO Y MADERA,A,"CHAVEZ VEGA, OSCAR FELIX",LUN 17:00  18:30,Hay 57 matriculados de 57
INGENIERIA CIVIL,10,DISEÑO DE ACERO Y MADERA,A,"CHAVEZ VEGA, OSCAR FELIX",MIE 17:00  18:30,Hay 57 matriculados de 57
INGENIERIA CIVIL,10,DISEÑO DE ACERO Y MADERA,B,"CHAVEZ VEGA, OSCAR FELIX",LUN 18:30  20:00,Hay 16 matriculados de 57
INGENIERIA CIVIL,10,DISEÑO DE ACERO Y MADERA,B,"CHAVEZ VEGA, OSCAR FELIX",MIE 20:00  21:30,Hay 16 matriculados de 57
INGENIERIA CIVIL,10,DISEÑO DE ACERO Y MADERA,C,"CHAVEZ VEGA, OSCAR FELIX",LUN 20:00  21:30,Hay 33 matriculados de 57
INGENIERIA CIVIL,10,DISEÑO DE ACERO Y MADERA,C,"CHAVEZ VEGA, OSCAR FELIX",MIE 18:30  20:00,Hay 33 matriculados de 57
INGENIERIA CIVIL,10,INGENIERIA DE PUENTES,C,"ROSAS ESPINOZA, JORGE",JUE 20:00  21:30,Hay 40 matriculados de 57
INGENIERIA CIVIL,10,INGENIERIA DE PUENTES,C,"ROSAS ESPINOZA, JORGE",MIE 20:00  21:30,Hay 40 matriculados de 57
INGENIERIA CIVIL,10,INGENIERIA DE PUENTES,A,"BUSTAMANTE MORA, BORIS ANDRE",JUE 18:30  20:00,Hay 38 matriculados de 57
INGENIERIA CIVIL,10,INGENIERIA DE PUENTES,A,"BUSTAMANTE MORA, BORIS ANDRE",MAR 20:00  21:30,Hay 38 matriculados de 57
INGENIERIA CIVIL,10,INGENIERIA DE PUENTES,B,"BUSTAMANTE MORA, BORIS ANDRE",JUE 17:00  18:30,Hay 57 matriculados de 57
INGENIERIA CIVIL,10,INGENIERIA DE PUENTES,B,"BUSTAMANTE MORA, BORIS ANDRE",MAR 18:30  20:00,Hay 57 matriculados de 57
INGENIERIA CIVIL,10,TRABAJO DE INVESTIGACION,01,"UGARTE CALDERON, ENRIQUE ALFONSO",JUE 10:00  13:00,Hay 11 matriculados de 20
INGENIERIA CIVIL,10,TRABAJO DE INVESTIGACION,01,"UGARTE CALDERON, ENRIQUE ALFONSO",MAR 10:00  13:00,Hay 11 matriculados de 20
INGENIERIA CIVIL,10,TRABAJO DE INVESTIGACION,02,"UGARTE CALDERON, ENRIQUE ALFONSO",MIE 10:00  13:00,Hay 12 matriculados de 20
INGENIERIA CIVIL,10,TRABAJO DE INVESTIGACION,02,"UGARTE CALDERON, ENRIQUE ALFONSO",VIE 10:00  13:00,Hay 12 matriculados de 20
INGENIERIA CIVIL,10,TRABAJO DE INVESTIGACION,08,"MONTOYA VILLANUEVA, FILIBERTO RODY",JUE 07:00  10:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,10,TRABAJO DE INVESTIGACION,08,"MONTOYA VILLANUEVA, FILIBERTO RODY",MAR 07:00  10:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,10,TRABAJO DE INVESTIGACION,09,"MONTOYA VILLANUEVA, FILIBERTO RODY",MIE 07:00  10:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,10,TRABAJO DE INVESTIGACION,09,"MONTOYA VILLANUEVA, FILIBERTO RODY",VIE 07:00  10:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,10,TRABAJO DE INVESTIGACION,03,"ESPINOZA VIGIL, ALAIN JORGE",LUN 11:00  14:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,10,TRABAJO DE INVESTIGACION,03,"ESPINOZA VIGIL, ALAIN JORGE",MIE 11:00  14:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,10,TRABAJO DE INVESTIGACION,04,"ESPINOZA VIGIL, ALAIN JORGE",LUN 14:00  17:00,Hay 12 matriculados de 20
INGENIERIA CIVIL,10,TRABAJO DE INVESTIGACION,04,"ESPINOZA VIGIL, ALAIN JORGE",MIE 14:00  17:00,Hay 12 matriculados de 20
INGENIERIA CIVIL,10,TRABAJO DE INVESTIGACION,05,"ESPINOZA VIGIL, ALAIN JORGE",JUE 11:00  14:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,10,TRABAJO DE INVESTIGACION,05,"ESPINOZA VIGIL, ALAIN JORGE",MAR 11:00  14:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,10,TRABAJO DE INVESTIGACION,06,"ESPINOZA VIGIL, ALAIN JORGE",JUE 14:00  17:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,10,TRABAJO DE INVESTIGACION,06,"ESPINOZA VIGIL, ALAIN JORGE",MAR 14:00  17:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,10,TRABAJO DE INVESTIGACION,07,"DE LA CRUZ MENDOZA, FERNANDO ARON",LUN 12:00  15:00,Hay 16 matriculados de 20
INGENIERIA CIVIL,10,TRABAJO DE INVESTIGACION,07,"DE LA CRUZ MENDOZA, FERNANDO ARON",VIE 15:00  18:00,Hay 16 matriculados de 20
INGENIERIA CIVIL,10,TOPICOS EN GEOTECNIA II,A,"GAMARRA TUCO, RUBEN FRANCISCO",JUE 20:00  21:30,Hay 36 matriculados de 50
INGENIERIA CIVIL,10,TOPICOS EN GEOTECNIA II,A,"GAMARRA TUCO, RUBEN FRANCISCO",MAR 17:00  18:30,Hay 36 matriculados de 50
INGENIERIA CIVIL,10,TOPICOS DE INGENIERIA HIDRAULICA II,A,"NORIEGA AQUISE, GUILLERMO YOREL",MAR 17:00  18:30,Hay 57 matriculados de 66
INGENIERIA CIVIL,10,TOPICOS DE INGENIERIA HIDRAULICA II,A,"NORIEGA AQUISE, GUILLERMO YOREL",MIE 20:00  21:30,Hay 57 matriculados de 66
INGENIERIA CIVIL,10,TOPICOS DE INGENIERIA HIDRAULICA II,B,"NORIEGA AQUISE, GUILLERMO YOREL",MAR 20:00  21:30,Hay 23 matriculados de 66
INGENIERIA CIVIL,10,TOPICOS DE INGENIERIA HIDRAULICA II,B,"NORIEGA AQUISE, GUILLERMO YOREL",VIE 16:15  17:45,Hay 23 matriculados de 66
INGENIERIA CIVIL,10,TOPICOS DE INGENIERIA HIDRAULICA II,C,"NORIEGA AQUISE, GUILLERMO YOREL",LUN 16:30  18:00,Hay 66 matriculados de 66
INGENIERIA CIVIL,10,TOPICOS DE INGENIERIA HIDRAULICA II,C,"NORIEGA AQUISE, GUILLERMO YOREL",MAR 18:30  20:00,Hay 66 matriculados de 66
INGENIERIA CIVIL,10,TOPICOS DE CONSTRUCCION II,A,"MONTOYA VILLANUEVA, FILIBERTO RODY",MIE 14:00  15:30,Hay 70 matriculados de 70
INGENIERIA CIVIL,10,TOPICOS DE CONSTRUCCION II,A,"MONTOYA VILLANUEVA, FILIBERTO RODY",VIE 14:00  15:30,Hay 70 matriculados de 70
INGENIERIA CIVIL,10,TOPICOS DE CONSTRUCCION II,B,"MONTOYA VILLANUEVA, FILIBERTO RODY",MIE 15:30  17:00,Hay 70 matriculados de 70
INGENIERIA CIVIL,10,TOPICOS DE CONSTRUCCION II,B,"MONTOYA VILLANUEVA, FILIBERTO RODY",VIE 15:30  17:00,Hay 70 matriculados de 70
